EUGP,European Golden-Plover
AMGP,American Golden-Plover
PAGP,Pacific Golden-Plover
EUDO,Eurasian Dotterel
KILL,Killdeer
CRPL,Common Ringed Plover
SEPL,Semipalmated Plover
PIPL,Piping Plover
LRPL,Little Ringed Plover
LSAP,Siberian (Lesser) Sand-Plover
GSAP,Greater Sand-Plover
WIPL,Wilson's Plover
COPL,Collared Plover
MOPL,Mountain Plover
SNPL,Snowy Plover
KEPL,Kentish Plover
NOJA,Northern Jacana
UPSA,Upland Sandpiper
BTCU,Bristle-thighed Curlew
WHIM,Whimbrel
LICU,Little Curlew
ESCU,Eskimo Curlew
LBCU,Long-billed Curlew
FECU,Far Eastern Curlew
SBCU,Slender-billed Curlew
EUCU,Eurasian Curlew
BTGO,Bar-tailed Godwit
BLTG,Black-tailed Godwit
HUGO,Hudsonian Godwit
MAGO,Marbled Godwit
RUTU,Ruddy Turnstone
BLTU,Black Turnstone
GRKN,Great Knot
REKN,Red Knot
SURF,Surfbird
RUFF,Ruff
BBIS,Broad-billed Sandpiper
SPTS,Sharp-tailed Sandpiper
STSA,Stilt Sandpiper
CUSA,Curlew Sandpiper
TEST,Temminck's Stint
LTST,Long-toed Stint
SBSA,Spoon-billed Sandpiper
RNST,Red-necked Stint
SAND,Sanderling
DUNL,Dunlin
ROSA,Rock Sandpiper
PUSA,Purple Sandpiper
BASA,Baird's Sandpiper
LIST,Little Stint
LESA,Least Sandpiper
WRSA,White-rumped Sandpiper
BBSA,Buff-breasted Sandpiper
PESA,Pectoral Sandpiper
SESA,Semipalmated Sandpiper
WESA,Western Sandpiper
SBDO,Short-billed Dowitcher
LBDO,Long-billed Dowitcher
JASN,Jack Snipe
EUWO,Eurasian Woodcock
AMWO,American Woodcock
SOSN,Solitary Snipe
PTSN,Pin-tailed Snipe
COSN,Common Snipe
WISN,Wilson's Snipe
TESA,Terek Sandpiper
COSA,Common Sandpiper
SPSA,Spotted Sandpiper
GRSA,Green Sandpiper
SOSA,Solitary Sandpiper
GTTA,Gray-tailed Tattler
WATA,Wandering Tattler
LEYE,Lesser Yellowlegs
WILL,Willet
SPRE,Spotted Redshank
COMG,Common Greenshank
GRYE,Greater Yellowlegs
CREH,Common Redshank
WOSA,Wood Sandpiper
MASA,Marsh Sandpiper
WIPH,Wilson's Phalarope
RNPH,Red-necked Phalarope
REPH,Red Phalarope
ORPR,Oriental Pratincole
GRSK,Great Skua
SPSK,South Polar Skua
POJA,Pomarine Jaeger
PAJA,Parasitic Jaeger
LTJA,Long-tailed Jaeger
DOVE,Dovekie
COMU,Common Murre
TBMU,Thick-billed Murre
RAZO,Razorbill
GRAU,Great Auk
BLGU,Black Guillemot
PIGU,Pigeon Guillemot
LBMU,Long-billed Murrelet
MAMU,Marbled Murrelet
KIMU,Kittlitz's Murrelet
SCMU,Scripps's Murrelet
GUMU,Guadalupe Murrelet
CRMU,Craveri's Murrelet
ANMU,Ancient Murrelet
CAAU,Cassin's Auklet
PAAU,Parakeet Auklet
LEAU,Least Auklet
WHAU,Whiskered Auklet
CRAU,Crested Auklet
RHAU,Rhinoceros Auklet
ATPU,Atlantic Puffin
HOPU,Horned Puffin
TUPU,Tufted Puffin
STGU,Swallow-tailed Gull
BLKI,Black-legged Kittiwake
RLKI,Red-legged Kittiwake
IVGU,Ivory Gull
SAGU,Sabine's Gull
BOGU,Bonaparte's Gull
GHGU,Gray-hooded Gull
BHGU,Black-headed Gull
LIGU,Little Gull
ROGU,Ross's Gull
LAGU,Laughing Gull
FRGU,Franklin's Gull
PAGU,Pallas's Gull
BEGU,Belcher's Gull
BTGU,Black-tailed Gull
HEEG,Heermann's Gull
COGU,Common Gull
SBIG,Short-billed Gull
RBGU,Ring-billed Gull
WEGU,Western Gull
YFGU,Yellow-footed Gull
CAGU,California Gull
HERG,Herring Gull
YLGU,Yellow-legged Gull
ICGU,Iceland Gull
LBBG,Lesser Black-backed Gull
SBAG,Slaty-backed Gull
GWGU,Glaucous-winged Gull
GLGU,Glaucous Gull
GBBG,Great Black-backed Gull
KEGU,Kelp Gull
BRNO,Brown Noddy
BLNO,Black Noddy
BGNO,Blue-gray Noddy
WHTT,White Tern
SOTE,Sooty Tern
GBAT,Gray-backed Tern
BRTE,Bridled Tern
ALTE,Aleutian Tern
LITE,Little Tern
LETE,Least Tern
LBTE,Large-billed Tern
GBTE,Gull-billed Tern
CATE,Caspian Tern
INTE,Inca Tern
BLTE,Black Tern
WWTE,White-winged Tern
WHST,Whiskered Tern
ROST,Roseate Tern
COTE,Common Tern
ARTE,Arctic Tern
FOTE,Forster's Tern
ROYT,Royal Tern
GCTE,Great Crested Tern
SATE,Sandwich Tern
ELTE,Elegant Tern
BLSK,Black Skimmer
WTTR,White-tailed Tropicbird
RBTR,Red-billed Tropicbird
RTTR,Red-tailed Tropicbird
RTLO,Red-throated Loon
ARLO,Arctic Loon
PALO,Pacific Loon
COLO,Common Loon
YBLO,Yellow-billed Loon
YNAL,Atlantic Yellow-nosed (Yellow-nosed) Albatross
WCAL,White-capped Albatross
CHAL,Chatham Albatross
SAAL,Salvin's Albatross
BBAL,Black-browed Albatross
LMAL,Light-mantled Albatross
WAAL,[Antipodean] (Wandering) Albatross
LAAL,Laysan Albatross
BFAL,Black-footed Albatross
STAL,Short-tailed Albatross
WISP,Wilson's Storm-Petrel
WFSP,White-faced Storm-Petrel
BBSP,Black-bellied Storm-Petrel
EUSP,European Storm-Petrel
FTSP,Fork-tailed Storm-Petrel
RISP,Ringed Storm-Petrel
SSTP,Swinhoe's Storm-Petrel
LESP,Leach's Storm-Petrel
TOSP,Townsend's Storm-Petrel
AISP,Ainley's Storm-Petrel
ASSP,Ashy Storm-Petrel
BSTP,Band-rumped Storm-Petrel
WRSP,Wedge-rumped Storm-Petrel
BLSP,Black Storm-Petrel
